id	disclosure_actor	disclosure_description	disclosure_target	disclosure_article_url	result	reason_of_no_disclosure	result_article_url	explanation
0	@WadaJP	内閣情報調査室において公務として、インターネットの情報を収集しその内容を把握する行為について、 ①当該公務を行う者の氏名及び決済者 ②当該公務に関する一切の記録 ③当該行為が公務でないならば、職務専念義務違反との関連の分かる一切の文書。	内閣情報調査室		不開示	上記文書のうち、①及び③については処分庁において本件対象文書を保有していないため不開示とした。（不存在）略	https://note.com/kaijiwada/n/n1b0fceeb5e91	内閣情報調査室は公務としてインターネットの情報を収集している
1		新型コロナ対策に関して、本年3月23日までの、 ①都知事が出席した会議の記録、 ②都知事と、病院経営本部や福祉保健局等のコロナ対策を所管する部局とのやり取りの記録、 の分かる一切の文書。	小池百合子		不開示	不存在	https://note.com/kaijiwada/n/n98ef8f69507e	コロナ関係部局とやり取りしないまま記者会見にてトップダウンで都の医療体制の方針を発表した
2								
3								
4								
5								
6								
7								
8								
9								
10								
11								
12								
13								
14								
15								
16								
17								
18								
19								
20								
21								
22								
23								
24								
25								
26								
27								
28								
29								
30								
31								
32								
33								
34								
35								
36								
37								
38								
39								
40								
41								
42								
43								
